"subject" "result.set" "activity" "average" "std.deviation"
"21" "train" "Walking" -0.330648706245588 0.46278042089897
"21" "train" "walking upstairs" -0.381967006088137 0.474155842467934
"21" "train" "walking downstairs" -0.291301975673511 0.476273261876457
"21" "train" "sitting" -0.644724493205524 0.534041231848018
"21" "train" "standing" -0.638450214241584 0.52824625478876
"21" "train" "Laying" -0.63110876443376 0.543535720144751
"22" "train" "Walking" -0.274200987116311 0.460223886482708
"22" "train" "walking upstairs" -0.305185521541175 0.469442638262656
"22" "train" "walking downstairs" -0.287664837258693 0.477527301224566
"22" "train" "sitting" -0.634015600138589 0.532294626778265
"22" "train" "standing" -0.635992094486953 0.530035611163826
"22" "train" "Laying" -0.632109081483277 0.53496528530253
"23" "train" "Walking" -0.265296718829829 0.46579226532907
"23" "train" "walking upstairs" -0.369581312588007 0.467422418502853
"23" "train" "walking downstairs" -0.20246554081645 0.460987522051888
"23" "train" "sitting" -0.632843540612456 0.543250880194874
"23" "train" "standing" -0.637024168810267 0.530870637218577
"23" "train" "Laying" -0.628089473591726 0.551318758401801
"25" "train" "Walking" -0.460842122215599 0.482596716338894
"25" "train" "walking upstairs" -0.48551223324769 0.493116080857898
"25" "train" "walking downstairs" -0.429924410531157 0.480854691025742
"25" "train" "sitting" -0.645307467575153 0.534077290135641
"25" "train" "standing" -0.645297950751058 0.528456430881869
"25" "train" "Laying" -0.589506698496036 0.547232332109179
"26" "train" "Walking" -0.392008755561813 0.465125341267774
"26" "train" "walking upstairs" -0.41167278243368 0.480189362138412
"26" "train" "walking downstairs" -0.322473123490661 0.468109872200611
"26" "train" "sitting" -0.642718508921569 0.53833447591283
"26" "train" "standing" -0.644004547265191 0.533600377749795
"26" "train" "Laying" -0.640679888089531 0.545445492151458
"27" "train" "Walking" -0.377771272094104 0.468395161476453
"27" "train" "walking upstairs" -0.426267052017458 0.486541542329806
"27" "train" "walking downstairs" -0.312446129792811 0.475531871474568
"27" "train" "sitting" -0.647329814034974 0.533817298802599
"27" "train" "standing" -0.644356212162637 0.53489831113065
"27" "train" "Laying" -0.645993647892745 0.539748273747566
"28" "train" "Walking" -0.393787255237739 0.468658808478667
"28" "train" "walking upstairs" -0.401092965937606 0.473868809256389
"28" "train" "walking downstairs" -0.291650876955502 0.46512298089658
"28" "train" "sitting" -0.637322526513564 0.523403484159419
"28" "train" "standing" -0.627883524309929 0.520150639763063
"28" "train" "Laying" -0.640518710327799 0.531234094900995
"29" "train" "Walking" -0.352894943404783 0.459840109925527
"29" "train" "walking upstairs" -0.364429747315138 0.485259175000608
"29" "train" "walking downstairs" -0.31726279115201 0.467398819601169
"29" "train" "sitting" -0.644100724926612 0.540119495168856
"29" "train" "standing" -0.650245278868483 0.535886584402718
"29" "train" "Laying" -0.646324698842316 0.547126726987741
"30" "train" "Walking" -0.373607524126774 0.459338566537628
"30" "train" "walking upstairs" -0.439370730188029 0.490550382384492
"30" "train" "walking downstairs" -0.358790607945901 0.466805193640834
"30" "train" "sitting" -0.646017901904583 0.532909952418861
"30" "train" "standing" -0.630635453342216 0.527932681940728
"30" "train" "Laying" -0.642625296795821 0.529112374412416
"2" "test" "Walking" -0.385708093716054 0.472480648130133
"2" "test" "walking upstairs" -0.363983305102955 0.466986530733141
"2" "test" "walking downstairs" -0.259677293061387 0.468969858872322
"2" "test" "sitting" -0.640597914078914 0.536903154530179
"2" "test" "standing" -0.636454993012462 0.536121766803276
"2" "test" "Laying" -0.639973837827844 0.543190972657338
"4" "test" "Walking" -0.43055661483918 0.485428925602175
"4" "test" "walking upstairs" -0.415260374462441 0.482705577294086
"4" "test" "walking downstairs" -0.363790441016887 0.487129202464647
"4" "test" "sitting" -0.627074988752137 0.530862971785924
"4" "test" "standing" -0.618583772157932 0.53095152419417
"4" "test" "Laying" -0.630875080725603 0.539552530103205
"9" "test" "Walking" -0.37164660578822 0.467783675462016
"9" "test" "walking upstairs" -0.427075431896002 0.481136153914494
"9" "test" "walking downstairs" -0.313140747277053 0.477790141292557
"9" "test" "sitting" -0.627530823653232 0.525685832859112
"9" "test" "standing" -0.633713631013694 0.526248464936241
"9" "test" "Laying" -0.628414047268328 0.530203592672608
"10" "test" "Walking" -0.327086776127028 0.45952606552789
"10" "test" "walking upstairs" -0.345652600356602 0.463332266173935
"10" "test" "walking downstairs" -0.263162073365728 0.46437761847549
"10" "test" "sitting" -0.640078551091241 0.542385052972978
"10" "test" "standing" -0.630886542166037 0.526957072055364
"10" "test" "Laying" -0.633606314208568 0.538735695963475
"12" "test" "Walking" -0.355560155447154 0.466077859788068
"12" "test" "walking upstairs" -0.42179157558609 0.479991489780756
"12" "test" "walking downstairs" -0.311490436338625 0.483057459159492
"12" "test" "sitting" -0.636301750626951 0.526141975692712
"12" "test" "standing" -0.627684013763497 0.530617423178774
"12" "test" "Laying" -0.63012919397725 0.529019863912251
"13" "test" "Walking" -0.316988827925179 0.461022426326115
"13" "test" "walking upstairs" -0.411582073864772 0.481770797831201
"13" "test" "walking downstairs" -0.317234723087439 0.464554338787264
"13" "test" "sitting" -0.638179130162868 0.543301816300237
"13" "test" "standing" -0.639297749080434 0.5349948366266
"13" "test" "Laying" -0.624337936876007 0.553650029828587
"18" "test" "Walking" -0.436306077297177 0.47389286795571
"18" "test" "walking upstairs" -0.470681472754459 0.48985827236021
"18" "test" "walking downstairs" -0.438663811185222 0.484713561455863
"18" "test" "sitting" -0.650240242162375 0.534071067022686
"18" "test" "standing" -0.645518459042212 0.530707626250285
"18" "test" "Laying" -0.645039855011435 0.539596972237049
"20" "test" "Walking" -0.259518117088663 0.460694587420229
"20" "test" "walking upstairs" -0.338291941451443 0.468243637456301
"20" "test" "walking downstairs" -0.247169665420288 0.473228255510929
"20" "test" "sitting" -0.639872725383092 0.527764929077405
"20" "test" "standing" -0.620027732157146 0.524149978782361
"20" "test" "Laying" -0.644397438696908 0.532641364322124
"24" "test" "Walking" -0.416975175176002 0.473899571955567
"24" "test" "walking upstairs" -0.43583828688532 0.474147933085783
"24" "test" "walking downstairs" -0.359085991984149 0.47355576452796
"24" "test" "sitting" -0.646619496620551 0.526749513709094
"24" "test" "standing" -0.634194893841734 0.53337291582095
"24" "test" "Laying" -0.634203387560794 0.541530472427839
